second,cpu_pct,mem_mb
0,3.5,72
1,11.6,96
2,38.2,97
3,70.4,104
4,103,106
5,131,110
6,157,104
7,178,104
8,195,109
9,210,108
10,223,110
11,234,106
12,244,106
13,253,111
14,260,107
15,267,107
16,273,104
17,279,104
18,284,109
19,289,106
20,293,110
21,297,108
22,301,104
23,305,109
24,308,111
25,311,109
26,314,110
27,317,107
28,319,110
29,322,109
30,324,109
31,326,106
32,328,106
33,330,106
34,331,105
35,333,107
36,335,107
37,336,109
38,337,107
39,339,106
40,340,108
41,341,110
42,342,108
43,343,106
44,344,111
45,345,107
46,346,106
47,347,107
48,348,106
49,349,110
50,350,108
51,350,108
52,351,107
53,352,106
54,353,109
55,354,106
56,354,106
57,355,109
58,356,104
59,357,105
60,357,109
61,358,110
62,359,105
63,359,110
64,360,110
65,361,105
66,361,107
67,362,105
68,362,109
69,363,106
70,363,110
71,364,106
72,364,108
73,365,107
74,365,109
75,366,106
76,366,107
77,367,106
78,367,106
79,368,107
80,368,107
81,368,109
82,369,108
83,369,106
84,370,110
85,370,109
86,370,104
87,371,109
88,371,109
89,371,109
90,372,103
91,372,106
92,372,107
93,373,109
94,373,110
95,373,108
96,374,105
97,374,110
98,374,106
99,374,109
100,375,104
101,375,107
102,375,107
103,376,107
104,376,109
105,376,107
106,376,108
107,377,107
108,377,108
109,377,107
110,377,108
111,378,107
112,378,107
113,378,110
114,378,105
115,378,112
116,379,108
117,379,110
118,379,107
119,379,111
120,380,110
121,380,110
122,380,108
123,380,111
124,380,106
125,381,107
126,381,110
127,381,108
128,381,108
129,382,109
130,382,107
131,382,111
132,382,109
133,382,111
134,382,105
135,382,109
136,383,107
137,383,106
138,383,107
139,383,108
140,383,108
141,383,110
142,384,109
143,384,111
144,384,105
145,384,109
146,384,106
147,384,106
148,385,107
149,385,108
150,385,105
151,385,109
