File: ferro-gw
Build ID: 03685a972842b301917b73b757b68b086fefc884
Type: cpu
Time: 2026-03-26 04:41:12 UTC
Duration: 30.15s, Total samples = 9.90s (32.83%)
Showing nodes accounting for 7.35s, 74.24% of 9.90s total
Dropped 432 nodes (cum <= 0.05s)
      flat  flat%   sum%        cum   cum%
     3.15s 31.82% 31.82%      3.15s 31.82%  internal/runtime/syscall.Syscall6
     0.78s  7.88% 39.70%      0.78s  7.88%  runtime.futex
     0.14s  1.41% 41.11%      0.18s  1.82%  runtime.step
     0.14s  1.41% 42.53%      0.21s  2.12%  runtime.unlock2
     0.13s  1.31% 43.84%      0.14s  1.41%  runtime.lock2
     0.12s  1.21% 45.05%      0.35s  3.54%  runtime.pcvalue
     0.11s  1.11% 46.16%      0.12s  1.21%  runtime.findfunc
     0.09s  0.91% 47.07%      0.09s  0.91%  runtime.nextFreeFast (inline)
     0.09s  0.91% 47.98%      0.09s  0.91%  runtime.write1
     0.08s  0.81% 48.79%      0.08s  0.81%  runtime.memclrNoHeapPointers
     0.07s  0.71% 49.49%      0.81s  8.18%  encoding/json.(*decodeState).object
     0.07s  0.71% 50.20%      0.14s  1.41%  net/textproto.CanonicalMIMEHeaderKey
     0.07s  0.71% 50.91%      0.07s  0.71%  runtime.(*mspan).writeHeapBitsSmall
     0.07s  0.71% 51.62%      0.07s  0.71%  runtime.memmove
     0.06s  0.61% 52.22%      0.06s  0.61%  runtime.(*mLockProfile).recordUnlock
     0.06s  0.61% 52.83%      0.24s  2.42%  runtime.(*stkframe).getStackMap
     0.06s  0.61% 53.43%      0.06s  0.61%  runtime.findObject
     0.06s  0.61% 54.04%      0.22s  2.22%  runtime.scanobject
     0.05s  0.51% 54.55%      0.05s  0.51%  encoding/json.stateEndValue
     0.05s  0.51% 55.05%      0.05s  0.51%  net/textproto.validHeaderFieldByte (inline)
     0.05s  0.51% 55.56%      0.05s  0.51%  runtime.(*timers).wakeTime (inline)
     0.05s  0.51% 56.06%      0.06s  0.61%  runtime.acquireSudog
     0.05s  0.51% 56.57%      0.07s  0.71%  runtime.mallocgcTiny
     0.05s  0.51% 57.07%      0.39s  3.94%  runtime.netpoll
     0.05s  0.51% 57.58%      0.05s  0.51%  runtime.typePointers.nextFast (inline)
     0.04s   0.4% 57.98%      0.43s  4.34%  encoding/json.(*decodeState).literalStore
     0.04s   0.4% 58.38%      0.18s  1.82%  main.(*serverConnTracker).observe
     0.04s   0.4% 58.79%      0.51s  5.15%  runtime.mallocgc
     0.04s   0.4% 59.19%      0.13s  1.31%  runtime.mallocgcSmallNoscan
     0.03s   0.3% 59.49%      1.36s 13.74%  bufio.(*Writer).Flush
     0.03s   0.3% 59.80%      0.39s  3.94%  encoding/json.indirect
     0.03s   0.3% 60.10%      0.06s  0.61%  encoding/json.stateBeginValue
     0.03s   0.3% 60.40%      0.06s  0.61%  net/http.(*Transport).tryPutIdleConn
     0.03s   0.3% 60.71%      0.19s  1.92%  net/http.(*persistConn).roundTrip
     0.03s   0.3% 61.01%      0.05s  0.51%  net/http.appendTime
     0.03s   0.3% 61.31%      0.07s  0.71%  net/textproto.canonicalMIMEHeaderKey
     0.03s   0.3% 61.62%      0.22s  2.22%  runtime.(*unwinder).resolveInternal
     0.03s   0.3% 61.92%      0.05s  0.51%  runtime.exitsyscall
     0.03s   0.3% 62.22%      0.96s  9.70%  runtime.findRunnable
     0.03s   0.3% 62.53%      0.26s  2.63%  runtime.mallocgcSmallScanNoHeader
     0.03s   0.3% 62.83%      0.25s  2.53%  runtime.newobject
     0.03s   0.3% 63.13%      0.17s  1.72%  runtime.selectgo
     0.03s   0.3% 63.43%      0.05s  0.51%  runtime.sweepone
     0.03s   0.3% 63.74%      0.05s  0.51%  sync.(*Pool).Get
     0.02s   0.2% 63.94%      0.21s  2.12%  encoding/json.(*Decoder).readValue
     0.02s   0.2% 64.14%      0.05s  0.51%  encoding/json.appendCompact
     0.02s   0.2% 64.34%      0.27s  2.73%  encoding/json.sliceEncoder.encode
     0.02s   0.2% 64.55%      0.34s  3.43%  encoding/json.structEncoder.encode
     0.02s   0.2% 64.75%      1.39s 14.04%  github.com/ferro-labs/ai-gateway.(*Gateway).Route
     0.02s   0.2% 64.95%      2.86s 28.89%  github.com/go-chi/chi/v5.(*Mux).ServeHTTP
     0.02s   0.2% 65.15%      0.38s  3.84%  github.com/go-chi/chi/v5.(*node).findRoute
     0.02s   0.2% 65.35%      1.17s 11.82%  internal/poll.(*FD).Write
     0.02s   0.2% 65.56%      0.05s  0.51%  internal/poll.runtime_pollWait
     0.02s   0.2% 65.76%      0.06s  0.61%  internal/runtime/maps.(*Map).Delete
     0.02s   0.2% 65.96%      2.27s 22.93%  main.mountOpenAIRoutes.chatCompletionsHandler.func1
     0.02s   0.2% 66.16%      0.08s  0.81%  net/http.Header.writeSubset
