second,cpu_pct,mem_mb
0,2.9,31
1,13.7,28
2,48.2,29
3,84.6,30
4,116,31
5,143,32
6,165,31
7,183,32
8,197,31
9,209,31
10,218,31
11,227,31
12,234,31
13,241,32
14,246,32
15,251,30
16,255,31
17,259,31
18,262,31
19,265,32
20,268,31
21,271,31
22,273,31
23,275,31
24,277,32
25,279,32
26,281,31
27,282,31
28,284,32
29,285,31
30,286,31
31,288,32
32,289,31
33,290,31
34,291,31
35,292,32
36,293,31
37,294,31
38,295,32
39,296,31
40,296,31
41,297,31
42,297,31
43,298,31
44,299,32
45,299,32
46,300,31
47,300,31
48,301,31
49,301,30
50,302,31
51,302,32
52,303,32
53,303,31
54,304,32
55,304,32
56,305,31
57,305,32
58,306,31
59,306,31
60,306,31
61,307,32
62,307,32
63,308,31
64,308,32
65,309,31
66,309,31
67,309,32
68,310,31
69,310,32
70,310,32
71,311,31
72,311,32
73,311,31
74,312,32
75,312,31
76,312,31
77,312,31
78,312,31
79,313,31
80,313,31
81,313,31
82,313,31
83,314,32
84,314,32
85,314,32
86,314,31
87,315,31
88,315,31
89,315,32
90,315,31
91,315,32
92,316,31
93,316,31
94,316,31
95,316,31
96,316,31
97,317,31
98,317,32
99,317,31
100,317,32
101,317,31
102,317,32
103,318,32
104,318,31
105,318,31
106,318,31
107,318,32
108,318,31
109,319,32
110,319,31
111,319,31
112,319,31
113,319,31
114,319,31
115,320,31
116,320,31
117,320,31
118,320,31
119,320,31
120,320,31
121,320,30
122,321,31
123,321,31
124,321,31
125,321,32
126,321,32
127,321,32
128,321,31
129,322,32
130,322,31
131,322,31
132,322,31
133,322,32
134,322,31
135,322,32
136,322,31
137,323,31
138,323,32
139,323,32
140,323,32
141,323,32
142,323,32
143,323,31
144,323,32
145,323,32
146,323,31
147,324,31
148,324,31
149,324,31
150,324,31
151,324,31
