second,cpu_pct,mem_mb
0,15.2,748
1,17.1,749
2,27.9,758
3,43.8,769
4,58.8,792
5,73.0,818
6,85.7,842
7,95.5,863
8,102.9,872
9,109.7,883
10,115.6,896
11,121.3,909
12,127.2,925
13,132.1,925
14,136.6,931
15,140.4,939
16,144.1,951
17,147.4,965
18,150.3,977
19,152.9,982
20,155.0,990
21,157.6,1000
22,160.0,1000
23,161.7,1000
24,163.4,1003
25,164.6,1005
26,166.2,1005
27,167.4,1007
28,169.0,1007
29,169.8,1007
30,170.7,1007
31,171.9,1009
32,172.6,1013
33,173.1,1017
34,173.9,1020
35,174.9,1023
36,175.9,1026
37,176.6,1027
38,177.6,1029
39,178.5,1036
40,179.3,1042
41,180.0,1049
42,180.3,1053
43,180.7,1055
44,181.5,1057
45,182.0,1056
46,182.6,1056
47,183.0,1056
48,183.7,1056
49,184.0,1056
50,184.4,1058
51,185.0,1061
52,185.4,1065
53,185.5,1068
54,185.5,1072
55,185.4,1076
56,185.1,1077
57,185.4,1077
58,186.0,1077
59,186.2,1077
60,186.6,1077
61,187.3,1077
62,187.9,1077
63,188.1,1077
64,188.6,1077
65,188.9,1077
66,189.0,1077
67,189.1,1077
68,189.2,1077
69,189.4,1077
70,189.5,1077
71,189.8,1077
72,190.1,1077
73,190.3,1077
74,190.6,1077
75,191.1,1077
76,191.4,1077
77,191.7,1077
78,192.1,1077
79,192.6,1077
80,192.9,1077
81,193.1,1077
82,193.2,1077
83,193.4,1077
84,193.5,1077
85,193.5,1077
86,193.3,1077
87,193.2,1077
88,193.0,1077
89,192.9,1077
90,193.1,1077
91,193.7,1077
92,193.9,1077
93,194.1,1077
94,194.2,1077
95,194.5,1078
96,194.7,1077
97,194.9,1078
98,195.1,1078
99,195.4,1078
100,195.6,1078
101,196.0,1078
102,196.0,1078
103,196.3,1078
104,196.4,1078
105,196.7,1078
106,196.6,1078
107,197.0,1078
108,197.2,1078
109,197.7,1079
110,197.8,1079
111,197.9,1079
112,197.9,1079
113,198.2,1079
114,198.3,1080
115,198.5,1084
116,198.6,1087
117,198.8,1091
118,198.9,1094
119,199.0,1098
120,199.2,1099
121,199.3,1099
122,199.5,1099
123,199.7,1101
124,199.9,1101
125,200.1,1101
126,200.3,1101
127,200.4,1101
128,200.5,1101
129,200.6,1101
130,200.9,1101
131,201.1,1101
132,201.2,1101
133,201.4,1101
134,201.3,1101
135,201.7,1101
136,201.9,1101
137,201.9,1101
138,202.2,1101
139,202.4,1101
140,202.7,1103
141,202.8,1103
142,202.9,1103
143,202.9,1103
144,203.1,1103
145,203.2,1103
146,203.4,1103
147,203.5,1103
148,203.5,1103
149,203.6,1103
150,203.6,1103
