gateway,timestamp_s,rss_mb
portkey,1,67.3
portkey,2,67.3
portkey,3,67.3
portkey,4,67.3
portkey,5,67.3
portkey,6,67.3
portkey,7,67.3
portkey,8,67.3
portkey,9,67.3
portkey,10,67.3
portkey,11,67.3
portkey,12,67.3
portkey,13,67.3
portkey,14,67.3
portkey,15,67.3
portkey,16,67.3
portkey,17,67.3
portkey,18,67.2
portkey,19,67.2
portkey,20,67.2
portkey,21,67.2
portkey,22,67.2
portkey,23,67.2
portkey,24,67.2
portkey,25,67.2
portkey,26,67.2
portkey,27,67.2
portkey,28,67.2
portkey,29,67.2
portkey,30,67.2
portkey,31,67.2
portkey,32,67.2
portkey,33,67.2
portkey,34,67.2
portkey,35,67.2
portkey,36,67.2
portkey,37,67.2
portkey,38,67.2
portkey,39,67.2
portkey,40,67.2
portkey,41,67.2
portkey,42,67.2
portkey,43,67.2
portkey,44,67.2
portkey,45,67.2
portkey,46,67.2
portkey,47,67.2
portkey,48,67.2
portkey,49,67.2
portkey,50,67.2
portkey,51,67.2
portkey,52,67.2
portkey,53,67.2
portkey,54,67.2
portkey,55,67.2
portkey,56,67.2
portkey,57,67.2
portkey,58,67.2
portkey,59,67.2
portkey,60,67.2
portkey,61,67.2
portkey,62,67.2
portkey,63,67.2
portkey,64,67.2
portkey,65,67.2
portkey,66,67.2
portkey,67,67.2
portkey,68,67.2
portkey,69,67.2
portkey,70,67.2
portkey,71,67.2
portkey,72,67.2
portkey,73,67.2
portkey,74,67.2
portkey,75,67.2
portkey,76,67.2
portkey,77,67.2
portkey,78,67.2
portkey,79,67.2
portkey,80,67.2
portkey,81,67.2
portkey,82,67.2
portkey,83,67.2
portkey,84,67.2
portkey,85,67.2
portkey,86,67.2
portkey,87,67.2
portkey,88,67.2
portkey,89,67.2
portkey,90,67.2
portkey,91,67.2
portkey,92,67.2
portkey,93,67.2
portkey,94,67.2
portkey,95,67.2
portkey,96,67.2
portkey,97,67.2
portkey,98,67.2
portkey,99,67.2
portkey,100,67.2
portkey,101,67.2
portkey,102,67.2
portkey,103,67.2
portkey,104,67.2
portkey,105,67.2
portkey,106,67.2
portkey,107,67.2
portkey,108,67.2
portkey,109,67.2
portkey,110,67.2
portkey,111,67.2
portkey,112,67.2
portkey,113,67.2
portkey,114,67.2
portkey,115,67.2
portkey,116,67.2
portkey,117,67.2
portkey,118,67.2
portkey,119,67.2
portkey,120,67.2
